cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialnum,run,blocktype,subjID
1,0,1,20.2380952380952,1,4,1,4,1,13,2,6,n2p42ndy1
1,1,3,94.6428571428571,1,2,1,2,1,14,2,6,n2p42ndy1
2,0,2,50,1,0,1,5,0,15,2,6,n2p42ndy1
1,0,1,20.2380952380952,1,3,1,3,1,16,2,6,n2p42ndy1
2,1,4,64.8809523809524,1,3,1,3,1,17,2,6,n2p42ndy1
2,0,2,4.61309523809524,1,3,1,3,1,18,2,6,n2p42ndy1
2,0,2,10.5654761904762,1,4,1,4,1,19,2,6,n2p42ndy1
2,1,4,64.1369047619048,1,3,1,4,0,20,2,6,n2p42ndy1
1,1,3,38.0952380952381,1,3,1,3,1,1,1,6,n2znwbt78
1,1,3,55.2083333333333,1,5,1,5,1,2,1,6,n2znwbt78
1,0,1,6.10119047619048,1,3,1,3,1,3,1,6,n2znwbt78
1,1,3,64.1369047619048,1,5,1,5,1,4,1,6,n2znwbt78
2,1,4,43.3035714285714,1,4,1,4,1,5,1,6,n2znwbt78
1,0,1,2.97619047619048,1,4,1,4,1,6,1,6,n2znwbt78
1,0,1,3.125,1,3,1,3,1,7,1,6,n2znwbt78
1,1,3,58.1845238095238,1,3,1,3,1,8,1,6,n2znwbt78
2,0,2,11.3095238095238,1,4,1,5,0,9,1,6,n2znwbt78
2,1,4,45.5357142857143,1,2,1,2,1,10,1,6,n2znwbt78
2,1,4,45.5357142857143,1,3,1,5,0,11,1,6,n2znwbt78
2,0,2,16.5178571428571,1,2,1,2,1,12,1,6,n2znwbt78
1,0,1,7.58928571428571,1,2,1,2,1,13,1,6,n2znwbt78
1,1,3,58.9285714285714,1,3,1,3,1,14,1,6,n2znwbt78
2,0,2,3.7202380952381,1,3,1,3,1,15,1,6,n2znwbt78
1,0,1,28.422619047619,1,5,1,5,1,16,1,6,n2znwbt78
2,1,4,47.7678571428571,1,1,1,2,0,17,1,6,n2znwbt78
2,0,2,45.5357142857143,1,3,1,4,0,18,1,6,n2znwbt78
2,0,2,13.5416666666667,1,2,1,2,1,19,1,6,n2znwbt78
2,1,4,54.4642857142857,1,3,1,3,1,20,1,6,n2znwbt78
2,1,4,22.4702380952381,1,1,1,3,0,1,2,8,n2znwbt78
1,0,1,0.148809523809524,1,5,1,5,1,2,2,8,n2znwbt78
1,1,3,59.672619047619,1,2,1,2,1,3,2,8,n2znwbt78
1,1,3,64.1369047619048,1,4,1,4,1,4,2,8,n2znwbt78
1,0,1,-0,1,2,1,2,1,5,2,8,n2znwbt78
2,1,4,55.2083333333333,1,5,1,5,1,6,2,8,n2znwbt78
2,0,2,3.86904761904762,1,2,1,2,1,7,2,8,n2znwbt78
2,0,2,1.63690476190476,1,4,1,3,0,8,2,8,n2znwbt78
2,1,4,55.2083333333333,1,2,1,3,0,9,2,8,n2znwbt78
1,0,1,20.9821428571429,1,2,1,2,1,10,2,8,n2znwbt78
2,0,2,13.5416666666667,1,1,1,2,0,11,2,8,n2znwbt78
1,1,3,57.4404761904762,1,3,1,3,1,12,2,8,n2znwbt78
1,0,1,28.422619047619,1,5,1,5,1,13,2,8,n2znwbt78
2,0,2,9.82142857142857,1,4,1,5,0,14,2,8,n2znwbt78
1,1,3,69.3452380952381,1,3,1,3,1,15,2,8,n2znwbt78
1,1,3,60.4166666666667,1,4,1,4,1,16,2,8,n2znwbt78
1,0,1,23.9583333333333,1,3,1,3,1,17,2,8,n2znwbt78
2,1,4,38.0952380952381,1,3,1,5,0,18,2,8,n2znwbt78
2,1,4,46.2797619047619,1,1,1,2,0,19,2,8,n2znwbt78
2,0,2,10.5654761904762,1,5,1,5,1,20,2,8,n2znwbt78
1,1,3,40.327380952381,1,3,1,3,1,1,1,4,n31b2j4ah
2,0,2,-0,1,3,1,2,0,2,1,4,n31b2j4ah
1,0,1,9.07738095238095,1,4,1,4,1,3,1,4,n31b2j4ah
2,1,4,14.2857142857143,0,1,1,2,0,4,1,4,n31b2j4ah
