subjid,hemisphere,layer,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain
7349,1,1,74.0191976700011,85.504437824428,74.7641287655186,70.1097118010217
7349,1,2,75.4885410602915,86.3381682894377,76.1512656554198,72.8316384928291
7349,1,3,76.8882187507351,85.4059223679679,76.6524556461576,76.0797408088707
7349,1,4,78.1153190706348,82.9873738104423,75.852047683368,78.2942508535053
7349,1,5,78.8189897257127,79.8798609300351,73.8494740410889,78.4850963630109
7349,1,6,78.6985724423683,76.6791576697416,71.0297168153666,76.8069441669942
7349,1,7,77.949825903218,73.5073750144416,67.9691454282501,73.7398186473804
7349,1,8,75.8764358993385,69.3906861700524,64.5000218897006,69.9080728819544
7349,1,9,72.2208278909576,64.7391717919251,61.1694201940124,66.5473542130853
7349,1,10,67.9220339809327,60.1819479354019,58.3229780483422,64.1139253402376
7349,1,11,63.2117407745336,56.0052164911207,55.6378543578243,61.8838648798305
7349,1,12,58.8865814471968,52.8083545357798,53.2424260824139,59.8676020483237
7349,1,13,55.2118669564567,50.0957164508017,51.024498952049,57.1509469607197
7349,1,14,52.4705161802408,47.9591605874716,49.2124133130798,54.4081648161937
7349,1,15,50.9150419195277,46.5368607279788,48.3319671718473,52.1972173964939
7349,1,16,50.6244916738615,45.6854406672028,48.5463224245722,51.1382563560569
7349,1,17,51.2353176129103,45.7451632740048,49.5896954644965,51.3579273832422
7349,1,18,52.4849824377999,46.8459199584552,50.3188880560822,52.3629098410322
7349,1,19,53.9779846297732,48.5523736351211,49.8674092675537,52.9805205799995
7349,1,20,55.2447689633879,50.6282501916174,48.7351911398463,52.7673876608913
7356,1,1,78.2316740832199,75.8421063851668,75.8807979670567,71.2435312065088
7356,1,2,77.7834910982448,77.1166589332128,78.6385049040138,72.9858980759922
7356,1,3,77.5855289752608,78.2476154480674,80.7250427172118,74.6106140211045
7356,1,4,76.9705845305978,78.8952906712763,81.4799302036875,75.6048853019281
7356,1,5,75.9638704895931,78.3030017050721,80.3929683471314,75.4669377183119
7356,1,6,75.0541750391089,76.2896044054104,77.7835481552156,74.0143868685335
7356,1,7,73.5250177876222,73.1275829672033,74.8378159859163,71.836190925672
7356,1,8,71.026283969506,68.760123166019,70.9559325095271,69.1389523644462
7356,1,9,67.7773469773062,64.6468245584175,66.628805102445,66.2651668337176
7356,1,10,64.4747383020021,61.0336956816899,62.8898738373673,63.529577047861
7356,1,11,60.6898455435236,57.4250311007983,59.8690787305702,60.5007379519709
7356,1,12,56.820221259574,54.0990639030282,57.7112065355283,57.4960672986703
7356,1,13,53.5278290070977,50.8963873370552,55.7072707332298,54.3412282046485
7356,1,14,50.9639252378374,48.4326295539989,53.7907458288067,51.8657655922789
7356,1,15,49.3914442348178,47.0444271335762,52.3626317201733,50.7019853646703
7356,1,16,48.8970251853993,46.6232250010997,51.7141264667323,51.0471916413961
7356,1,17,49.1920777387699,47.1578346527615,51.9319726199597,52.9199990218577
7356,1,18,50.1423478753303,48.279402178974,52.486308565201,55.4100650073536
7356,1,19,51.4730003096822,49.5447204409507,52.5650466901104,57.0082855412916
7356,1,20,52.8130275345721,50.709479604655,52.1484632883402,56.8058911173856
7361,1,1,70.0272284860616,79.8174005199724,73.3143382255318,76.4934484945453
7361,1,2,70.7004524502946,81.0823761306918,73.882971596179,79.1575899523502
7361,1,3,71.5184653804592,81.4091505658955,75.0988394879741,81.0443297885339
7361,1,4,71.9908287555882,80.5062372371213,76.4260890485963,81.3712769491321
7361,1,5,72.0485521098272,78.4776726099512,76.7851283784047,79.3486406258591
7361,1,6,71.9307913501619,76.2838070359221,75.5081354148714,75.5491381256204
7361,1,7,71.4610702804826,74.4030188135492,72.406102426001,71.4277407088452
7361,1,8,70.2364371304211,71.5022370135926,67.8490661452113,67.4728590696208
7361,1,9,68.4694457480921,67.7462610577562,63.6655904276298,63.5177834093685
7361,1,10,66.632290465522,63.7121026053488,60.4725893394897,60.0548718671021
7361,1,11,64.6731937581344,59.5375653822235,57.7497010213036,56.7176637744257
7361,1,12,62.5628396464499,55.7563959278354,55.3741060247161,53.921250804257
7361,1,13,60.0005822493107,52.3237215071187,52.9665766959395,51.413904332497
7361,1,14,57.4544010165621,49.8019455648754,50.8705537042913,49.366074679996
7361,1,15,55.7319358094272,48.3300854837851,49.3842821328583,48.3803773003118
7361,1,16,55.1500710737698,47.8913426622735,48.7638763466434,48.4095616135359
7361,1,17,55.2772484275126,48.498388917755,49.0909253238875,49.1059735410677
7361,1,18,55.7450096284224,49.8501949941122,49.8309468196541,50.240236435491
7361,1,19,55.6565701659085,51.3066606790977,50.5390674810105,50.9869833230098
7361,1,20,54.9595288831584,52.494540436778,50.9591269232362,51.2390171679413
7375,1,1,80.4678528232412,76.7292896921299,74.8507719118626,68.2355842092897
7375,1,2,79.6693399252591,77.9051120067156,77.1515499749349,69.5124272865816
7375,1,3,77.9590045226502,78.5976098374719,79.0156205879371,71.8831569996788
7375,1,4,76.2383164234309,79.0142514776201,79.3499314648876,74.5711184632935
7375,1,5,74.4332176144462,78.6369256264161,77.8030398155731,76.4008604067428
7375,1,6,72.8614091435208,77.174971152251,74.6461721762246,76.9820490055893
7375,1,7,71.6745643357655,75.1694452184438,70.8767354504573,75.9754656240802
7375,1,8,70.3323070544777,71.5285807557966,66.7587908719077,73.0845756835486
7375,1,9,68.3036897146537,66.6438488281064,63.2701993750599,69.8809876732224
7375,1,10,65.9638857641672,61.8468558401801,60.4515840123126,66.9658254413103
7375,1,11,63.2436054105601,57.6328372199705,57.4240582735473,63.8197706674622
7375,1,12,60.5975517673561,54.3706621020501,54.3415678735836,60.8321343431445
7375,1,13,57.5495385806787,51.4280571749003,51.6907931451592,57.7451833110505
7375,1,14,54.5320651734955,49.2050988654915,49.8450004216626,54.9071831564274
7375,1,15,52.3017546013688,47.9561564546079,49.0815163652199,52.9361388244688
7375,1,16,51.1273835075506,47.5779400502167,49.1382816568211,52.6603624975996
7375,1,17,50.9893828041578,48.0617006027787,49.9985630896482,53.7163239635138
7375,1,18,51.8239301141467,49.1715761060503,50.8550709317797,55.4691462493333
