subjid,hemisphere,layer,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain
7349,1,1,99.4156420592382,93.5064027127313,96.298345106408,84.0311666197704
7349,1,2,105.616809594184,100.606454226915,101.226375557087,89.581770215054
7349,1,3,106.181799338062,99.534941565282,100.141886875304,91.2725045638467
7349,1,4,101.995903033528,94.6949354824986,94.9258377007155,89.7465822251839
7349,1,5,96.4853743438618,90.1795303659076,89.0170631757527,87.2671024330369
7349,1,6,91.5952151568165,87.5964272341398,84.453977663076,84.9276874981099
7349,1,7,86.9837316350318,85.7482842556239,80.9954802351907,82.2874490692938
7349,1,8,82.7005150244641,82.5988922194167,77.3808229534934,78.9806735724253
7349,1,9,79.0874683673915,78.256590852026,73.3710649462539,75.319777186113
7349,1,10,77.0826970064386,74.6947186674444,69.654136770397,72.284805813678
7349,1,11,75.0667846702284,71.0333665061999,65.8481808011758,69.2276902716431
7349,1,12,72.3709629917824,66.9217829988916,62.2147338752862,65.9594104459565
7349,1,13,68.4720030769246,61.8175927733587,58.6044475917262,61.9165246443084
7349,1,14,62.6541845536158,55.878624532591,54.6828328685727,56.9376991291068
7349,1,15,56.7970155896652,50.8417413135088,50.9367759767489,52.4601484978957
7349,1,16,51.696328677436,46.7338510864348,47.1370873806319,48.5690010305146
7349,1,17,48.1662556010022,44.1258789473278,44.4020047914795,45.8553171564421
7349,1,18,46.0631467816498,42.5730792820588,42.5990648680105,44.145347187062
7349,1,19,44.3073198333579,41.3640546912825,41.3386981144382,42.9386704820488
7349,1,20,43.1773344217074,40.5602719137887,40.8166334595832,41.9685061785738
7356,1,1,97.6434164212556,90.6574721512014,95.0047231246457,89.3321787633003
7356,1,2,99.3901881842339,98.2451113206363,103.527096210989,96.1746019483083
7356,1,3,94.436945627807,100.337028666824,107.370377862808,98.5442615478365
7356,1,4,87.7050660374373,97.6241996191835,106.776842616029,95.9306946073969
7356,1,5,82.1027575999623,92.7096937335988,104.352352327512,91.6960226061746
7356,1,6,78.725348028557,87.9917434521843,101.724308034378,87.4878473225018
7356,1,7,76.2567319644765,83.3022359649931,98.9127053850384,83.5472056480802
